CustomerID,Recency,Frequency,Monetary,total_quantity,avg_quantity_per_order,avg_unit_price,product_variety,country,first_purchase,last_purchase,purchase_days,customer_lifetime,Cluster,Segment_Name
12347.0,3,7,4310.0,2458,13.505494505494505,2.644010989010989,103,Iceland,2010-12-07,2011-12-07,7,365,3,At Risk
12348.0,76,4,1797.24,2341,75.51612903225806,5.764838709677419,22,Finland,2010-12-16,2011-09-25,4,283,3,At Risk
12349.0,19,1,1757.55,631,8.643835616438356,8.289041095890411,73,Italy,2011-11-21,2011-11-21,1,0,0,Champions
12350.0,311,1,334.4,197,11.588235294117647,3.841176470588235,17,Norway,2011-02-02,2011-02-02,1,0,0,Champions
12352.0,37,8,2506.04,536,6.305882352941176,15.93070588235294,59,Norway,2011-02-16,2011-11-03,7,260,3,At Risk
12353.0,205,1,89.0,20,5.0,6.074999999999999,4,Bahrain,2011-05-19,2011-05-19,1,0,0,Champions
12354.0,233,1,1079.4,530,9.137931034482758,4.5037931034482765,58,Spain,2011-04-21,2011-04-21,1,0,0,Champions
12355.0,215,1,459.4,240,18.46153846153846,4.203846153846154,13,Bahrain,2011-05-09,2011-05-09,1,0,0,Champions
12356.0,23,3,2811.43,1591,26.966101694915253,3.201186440677966,53,Portugal,2011-01-18,2011-11-17,3,303,3,At Risk
12357.0,34,1,6207.67,2708,20.671755725190838,3.3486259541984733,131,Switzerland,2011-11-06,2011-11-06,1,0,3,At Risk
12358.0,2,2,1168.06,248,13.052631578947368,8.27421052631579,13,Austria,2011-07-12,2011-12-08,2,149,0,Champions
12359.0,58,4,6310.03,1609,6.56734693877551,8.664530612244898,214,Cyprus,2011-01-12,2011-10-13,4,274,2,Potential Loyalists
12360.0,53,3,2662.06,1165,9.031007751937985,3.5496899224806198,105,Austria,2011-05-23,2011-10-18,3,148,3,At Risk
12361.0,288,1,189.9,91,9.1,3.335,10,Belgium,2011-02-25,2011-02-25,1,0,0,Champions
12362.0,4,10,5226.23,2229,8.3796992481203,3.94093984962406,201,Belgium,2011-02-17,2011-12-06,10,292,2,Potential Loyalists
12363.0,110,2,552.0,408,17.73913043478261,2.3117391304347827,23,Unspecified,2011-04-11,2011-08-22,2,133,0,Champions
12364.0,8,4,1313.1,1506,17.71764705882353,1.910235294117647,70,Belgium,2011-08-19,2011-12-02,4,105,3,At Risk
12365.0,292,2,641.38,174,7.909090909090909,17.150454545454547,22,Cyprus,2011-02-21,2011-02-21,1,0,0,Champions
12367.0,5,1,168.9,173,15.727272727272727,3.2,11,Denmark,2011-12-05,2011-12-05,1,0,0,Champions
12370.0,52,4,3541.94,2352,14.168674698795181,2.794578313253012,143,Cyprus,2010-12-14,2011-10-19,4,309,3,At Risk
12371.0,45,2,1887.96,591,9.380952380952381,3.8742857142857146,63,Switzerland,2011-10-11,2011-10-26,2,15,0,Champions
12372.0,72,3,1298.04,794,15.26923076923077,3.001346153846154,34,Denmark,2011-02-16,2011-09-29,3,225,3,At Risk
12373.0,312,1,364.6,197,14.071428571428571,4.582142857142857,14,Austria,2011-02-01,2011-02-01,1,0,0,Champions
12374.0,26,1,742.9300000000001,342,10.363636363636363,4.21969696969697,33,Austria,2011-11-14,2011-11-14,1,0,0,Champions
12375.0,11,2,457.5,178,10.470588235294118,6.912941176470589,14,Finland,2011-09-02,2011-11-29,2,88,0,Champions
12377.0,316,2,1628.12,944,12.25974025974026,2.718831168831169,72,Switzerland,2010-12-20,2011-01-28,2,39,0,Champions
12378.0,130,1,4008.62,2529,11.547945205479452,2.9974429223744297,219,Switzerland,2011-08-02,2011-08-02,1,0,3,At Risk
